number,value,datetime_start,datetime_complete,duration,params_poisson_ratio,params_youngs_modulus,system_attrs_cma:generation,system_attrs_cma:large_n_eval,system_attrs_cma:n_restarts,system_attrs_cma:n_restarts_with_large,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:popsize,system_attrs_cma:poptype,system_attrs_cma:small_n_eval,state
14,75.81450009317288,2024-08-18 00:07:12.806006,2024-08-18 00:07:41.885679,0 days 00:00:29.079673,0.40018313959984414,0.2520667481697758,2.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0285946811894310b552ffe4482bc83f001c71c95cf4dfbf947494628c035f706394682f68314b008594683387945294284b014b0285946811894310fd7b2fcba1a5d03fb9589c1d31a3d6bf947494628c055f6d65616e94682f68314b008594683387945294284b014b02859468398943101ac079f54ec4df3f27a9b0c2ec6dd83f947494628c065f7369676d6194680b68114308fcda6a519c71c03f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b028c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b288594683989424001000000000000000000000000000000000000c2a664d6a4023540da2a2103323b6b40b712a12d4e3b4740d2d69eefc54c54400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c055f635f316494682f68314b008594683387945294284b014b03859468118943184d48ede6d1eae73f08b0b0a033e0b33fdc323349ab6be73f9474946275622e,6.0,small,0.0,COMPLETE
15,51.95448729069936,2024-08-18 00:07:41.963009,2024-08-18 00:08:11.253345,0 days 00:00:29.290336,0.40658998306214167,0.22762391215361816,2.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
16,130.63566654104474,2024-08-18 00:08:11.326964,2024-08-18 00:08:38.741053,0 days 00:00:27.414089,0.41791848598979076,0.3016206914638951,2.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
17,91.26008306611534,2024-08-18 00:08:38.827140,2024-08-18 00:09:07.720387,0 days 00:00:28.893247,0.4057004942026985,0.09180266119664104,2.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
18,95.34510398368502,2024-08-18 00:09:07.791179,2024-08-18 00:09:36.805300,0 days 00:00:29.014121,0.4083486830683011,0.26969009367582486,2.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
19,126.57457603310556,2024-08-18 00:09:36.880374,2024-08-18 00:10:04.000951,0 days 00:00:27.120577,0.40910026629547713,0.2997005882775721,2.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
20,31.921461607292315,2024-08-18 00:10:04.096357,2024-08-18 00:10:33.415954,0 days 00:00:29.319597,0.4043110596374341,0.20761194553117684,3.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b02859468118943106cd2c9a3b14ed5bf301b980868c7c9bf947494628c035f706394682f68314b008594683387945294284b014b02859468118943109fa9314b8e6ad4bfdcfb1f79f458b5bf947494628c055f6d65616e94682f68314b008594683387945294284b014b02859468398943102bca19ddf82bdd3f028a65ceb4bcd83f947494628c065f7369676d6194680b68114308e07b82814495ba3f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b038c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b288594683989424001000000000000000000000000000000000000c2a664d6a4023540da2a2103323b6b40b712a12d4e3b4740d2d69eefc54c54402e00b9a32cfa49405b9e5b615754604000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c055f635f316494682f68314b008594683387945294284b014b03859468118943183d3a39b0f72ee63f80c3e496e366a43fbb858c1ff1abe03f9474946275622e,6.0,small,0.0,COMPLETE
21,31.97330437767314,2024-08-18 00:10:33.511499,2024-08-18 00:11:02.476029,0 days 00:00:28.964530,0.39871191714273463,0.20828612980105088,3.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
22,35.34636179505887,2024-08-18 00:11:02.552387,2024-08-18 00:11:31.831345,0 days 00:00:29.278958,0.39648772954852934,0.21206890677903978,3.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
23,71.08875808545612,2024-08-18 00:11:31.916064,2024-08-18 00:11:59.096246,0 days 00:00:27.180182,0.412591365610949,0.24541412546161068,3.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
24,36.13558368730275,2024-08-18 00:11:59.183524,2024-08-18 00:12:26.327437,0 days 00:00:27.143913,0.4048698249864846,0.21192235254215713,3.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
25,109.56840603853655,2024-08-18 00:12:26.422735,2024-08-18 00:12:55.360832,0 days 00:00:28.938097,0.3950200755947647,0.2858848953893676,3.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
26,81.25579716940186,2024-08-18 00:12:55.452991,2024-08-18 00:13:22.792666,0 days 00:00:27.339675,0.40898402721843236,0.2559190614101019,4.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0285946811894310b6c4e4873db3ddbf99a0a8d26204e5bf947494628c035f706394682f68314b008594683387945294284b014b02859468118943103aa2859a503ed9bf6ed1bfd9c488debf947494628c055f6d65616e94682f68314b008594683387945294284b014b028594683989431002686aedfec9db3fd2ff585b2e7ed63f947494628c065f7369676d6194680b68114308b6447da609ccb73f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b048c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b288594683989424001000000000000000000000000000000000000c2a664d6a4023540da2a2103323b6b40b712a12d4e3b4740d2d69eefc54c54402e00b9a32cfa49405b9e5b615754604010d76be8e4eb3f404297b8c360645b40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0385946811894318159e74f1e472e33f02abade7bfb6b23f144481d30c74db3f9474946275622e,6.0,small,0.0,COMPLETE
27,58.41759788059518,2024-08-18 00:13:22.869690,2024-08-18 00:13:52.096576,0 days 00:00:29.226886,0.3914688366897531,0.23609698721807004,4.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
28,23.877145149405386,2024-08-18 00:13:52.175401,2024-08-18 00:14:21.129708,0 days 00:00:28.954307,0.382802668658882,0.20073859084747675,4.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
29,,2024-08-18 00:14:21.198514,2024-08-18 00:14:50.111578,0 days 00:00:28.913064,0.3991731321888296,0.23880685330579932,4.0,0.0,0.0,0.0,,,6.0,small,0.0,FAIL
30,52.37973329493758,2024-08-18 00:14:50.203117,2024-08-18 00:15:19.278647,0 days 00:00:29.075530,0.3916159864335897,0.23002845721854537,4.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
31,11.695038948853737,2024-08-18 00:15:19.353189,2024-08-18 00:15:48.411341,0 days 00:00:29.058152,0.40627435049297284,0.17099073601829104,4.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
32,11.924339211216168,2024-08-18 00:15:48.493338,2024-08-18 00:16:15.663822,0 days 00:00:27.170484,0.40376188030002014,0.1846403099635348,4.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
33,33.37867276317584,2024-08-18 00:16:15.733306,2024-08-18 00:16:44.881809,0 days 00:00:29.148503,0.40086069467575336,0.1488031361881645,5.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0285946811894310d8f7e05ba76cab3fea0c85370cb5fbbf947494628c035f706394682f68314b008594683387945294284b014b02859468118943104c0eba659209a63fe660aaa9e07df2bf947494628c055f6d65616e94682f68314b008594683387945294284b014b0285946839894310fa0b8b8680a6dc3f475d8fc47517d23f947494628c065f7369676d6194680b68114308fc743ab498c4ba3f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b058c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b288594683989424001000000000000000000000000000000000000c2a664d6a4023540da2a2103323b6b40b712a12d4e3b4740d2d69eefc54c54402e00b9a32cfa49405b9e5b615754604010d76be8e4eb3f404297b8c360645b40c98b2525dc632740623f17fb5e5054400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0385946811894318ed689ace5babe03f9a89215217d3a63f853d0637650fe23f9474946275622e,6.0,small,0.0,COMPLETE
34,13.787783128701786,2024-08-18 00:16:44.967993,2024-08-18 00:17:13.981876,0 days 00:00:29.013883,0.40842080563743305,0.18678422954314394,5.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
35,15.585654350791083,2024-08-18 00:17:14.063640,2024-08-18 00:17:41.357453,0 days 00:00:27.293813,0.39985730246532186,0.18966938833275143,5.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
36,21.418512907640704,2024-08-18 00:17:41.462629,2024-08-18 00:18:08.727381,0 days 00:00:27.264752,0.41481086078371515,0.19511651516949569,5.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
37,15.905871839254631,2024-08-18 00:18:08.805402,2024-08-18 00:18:36.043384,0 days 00:00:27.237982,0.41555027772109715,0.1646703550149346,5.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
38,12.319776078878204,2024-08-18 00:18:36.127416,2024-08-18 00:19:03.519186,0 days 00:00:27.391770,0.4053214750999128,0.1703658166565182,5.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
