number,value,datetime_start,datetime_complete,duration,params_poisson_ratio,params_youngs_modulus,system_attrs_cma:generation,system_attrs_cma:large_n_eval,system_attrs_cma:n_restarts,system_attrs_cma:n_restarts_with_large,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:popsize,system_attrs_cma:poptype,system_attrs_cma:small_n_eval,state
134,8.36751749124921,2024-08-18 01:03:55.363814,2024-08-18 01:04:24.419616,0 days 00:00:29.055802,0.40989184222918745,0.17798155026074702,21.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
135,8.511274690368495,2024-08-18 01:04:24.514285,2024-08-18 01:04:51.752781,0 days 00:00:27.238496,0.4064167401312397,0.1770375990865558,21.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
136,8.657032241588084,2024-08-18 01:04:51.828456,2024-08-18 01:05:19.178789,0 days 00:00:27.350333,0.4054453864254157,0.1765253787132242,21.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
137,8.393915547107907,2024-08-18 01:05:19.259532,2024-08-18 01:05:48.525246,0 days 00:00:29.265714,0.4081097692681959,0.17741092876887188,21.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
138,8.608128553206246,2024-08-18 01:05:48.600691,2024-08-18 01:06:15.906366,0 days 00:00:27.305675,0.4070504716085654,0.17610428780049064,21.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
139,8.147653905084065,2024-08-18 01:06:16.000039,2024-08-18 01:06:45.467719,0 days 00:00:29.467680,0.41230012104165586,0.1761884044919964,22.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b02859468118943108864f5037f10fd3f176386415ff4c4bf947494628c035f706394682f68314b008594683387945294284b014b0285946811894310bf554387de59ec3f10ad38c619c6493f947494628c055f6d65616e94682f68314b008594683387945294284b014b02859468398943104d09bc1ecd86df3f2b35bd530f2bd23f947494628c065f7369676d6194680b68114308c6cca6ec65169a3f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b168c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b28859468398942400100002f3b0a152efc204067f5e7eb952422407e305a6198b920408474b7db0df92140243fab402bbc2040a813ac87665021402e00b9a32cfa49405b9e5b615754604010d76be8e4eb3f404297b8c360645b40c98b2525dc632740623f17fb5e50544067a6b1b0b9a32840f4dc5e5978b040409fe4b35c886d2e40a218e8839c0c4640e46f60e0ac6f3040a6a481337da8504018a2c7d2c7b82040dc51b6ff7006444068144afe2b142140c4e8397a463b44409ecb7bbf3209224069419e39e5734140a9f167e2418721400f477fc013802f40da6781966c9921400a8f8e2365c83540c98679e1c26f21409e0c73ee16f82a4082d9c9dc1696214000daebb775682540183e6310a32621403bd591509d2623401d118d92982b21404604d97afe082540b40813082a2c21407a9a3847af792440c7a6f80fae0521402e24765e2c632140947494628c055f635f316494682f68314b008594683387945294284b014b0385946811894318f00d2c1fe155d93fe489cdcbf22c5abf7a126e65f486753f9474946275622e,6.0,small,0.0,COMPLETE
140,8.31886503364128,2024-08-18 01:06:45.537697,2024-08-18 01:07:14.532463,0 days 00:00:28.994766,0.4117445987551865,0.17806287514960767,22.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
141,8.357889490525551,2024-08-18 01:07:14.619986,2024-08-18 01:07:41.739083,0 days 00:00:27.119097,0.412441203252039,0.17827621413538008,22.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
142,8.25955502965807,2024-08-18 01:07:41.818221,2024-08-18 01:08:10.768773,0 days 00:00:28.950552,0.410169332027152,0.1770754708289679,22.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
143,8.228080202095555,2024-08-18 01:08:10.849799,2024-08-18 01:08:38.083959,0 days 00:00:27.234160,0.4106584576989831,0.17676832852021523,22.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
144,8.595552967583922,2024-08-18 01:08:38.182322,2024-08-18 01:09:07.278255,0 days 00:00:29.095933,0.4097748122422047,0.1788789477979798,22.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
145,8.568455457541608,2024-08-18 01:09:07.348812,2024-08-18 01:09:34.722874,0 days 00:00:27.374062,0.4085959143233009,0.1757139856405462,23.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b02859468118943100783658522970440e1e98acf4fddfebf947494628c035f706394682f68314b008594683387945294284b014b028594681189431028b6003ede49d53fc0940233745a333f947494628c055f6d65616e94682f68314b008594683387945294284b014b0285946839894310c5ff912aba71e03f8c5d4278ebfad13f947494628c065f7369676d6194680b68114308f3d30b2fd522a53f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b178c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b28859468398942400100002f3b0a152efc204067f5e7eb952422407e305a6198b920408474b7db0df92140243fab402bbc2040a813ac8766502140edecea4a994b20400d9e8d51ec30214010d76be8e4eb3f404297b8c360645b40c98b2525dc632740623f17fb5e50544067a6b1b0b9a32840f4dc5e5978b040409fe4b35c886d2e40a218e8839c0c4640e46f60e0ac6f3040a6a481337da8504018a2c7d2c7b82040dc51b6ff7006444068144afe2b142140c4e8397a463b44409ecb7bbf3209224069419e39e5734140a9f167e2418721400f477fc013802f40da6781966c9921400a8f8e2365c83540c98679e1c26f21409e0c73ee16f82a4082d9c9dc1696214000daebb775682540183e6310a32621403bd591509d2623401d118d92982b21404604d97afe082540b40813082a2c21407a9a3847af792440c7a6f80fae0521402e24765e2c632140947494628c055f635f316494682f68314b008594683387945294284b014b038594681189431865ad8ed27da0db3f1ed64b6e490d86bf1d66bdb3fbf6763f9474946275622e,6.0,small,0.0,COMPLETE
146,9.284581778002064,2024-08-18 01:09:34.815083,2024-08-18 01:10:03.835692,0 days 00:00:29.020609,0.40806379884082705,0.1741868881723282,23.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
147,7.924264925311881,2024-08-18 01:10:03.918577,2024-08-18 01:10:32.773003,0 days 00:00:28.854426,0.4169050198760395,0.1751772990614454,23.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
148,8.135799110798716,2024-08-18 01:10:32.859235,2024-08-18 01:11:01.748132,0 days 00:00:28.888897,0.4121455813955358,0.17651121421174198,23.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
149,8.167498897404206,2024-08-18 01:11:01.823543,2024-08-18 01:11:30.708944,0 days 00:00:28.885401,0.41178813034898015,0.17709548770610056,23.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
150,8.297681972156951,2024-08-18 01:11:30.788209,2024-08-18 01:11:57.987226,0 days 00:00:27.199017,0.41029947954852103,0.17764341316095356,23.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
151,8.242891643655293,2024-08-18 01:11:58.062126,2024-08-18 01:12:27.092012,0 days 00:00:29.029886,0.4111657639698501,0.17753138979001098,24.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0285946811894310ad7ccf35707e05400e29808b5cfff6bf947494628c035f706394682f68314b008594683387945294284b014b0285946811894310bf45ed5483f8bf3f15e37a4882101d3f947494628c055f6d65616e94682f68314b008594683387945294284b014b0285946839894310ff2bac808a5fe13f01413885dce0d13f947494628c065f7369676d6194680b68114308663a6197ec6cb03f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b188c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b28859468398942400100002f3b0a152efc204067f5e7eb952422407e305a6198b920408474b7db0df92140243fab402bbc2040a813ac8766502140edecea4a994b20400d9e8d51ec302140b8372c8172b21f40e01cebb3b4912240c98b2525dc632740623f17fb5e50544067a6b1b0b9a32840f4dc5e5978b040409fe4b35c886d2e40a218e8839c0c4640e46f60e0ac6f3040a6a481337da8504018a2c7d2c7b82040dc51b6ff7006444068144afe2b142140c4e8397a463b44409ecb7bbf3209224069419e39e5734140a9f167e2418721400f477fc013802f40da6781966c9921400a8f8e2365c83540c98679e1c26f21409e0c73ee16f82a4082d9c9dc1696214000daebb775682540183e6310a32621403bd591509d2623401d118d92982b21404604d97afe082540b40813082a2c21407a9a3847af792440c7a6f80fae0521402e24765e2c632140947494628c055f635f316494682f68314b008594683387945294284b014b03859468118943188f668f2c3e19dd3fae2de9e2087691bf0fff19196d0b763f9474946275622e,6.0,small,0.0,COMPLETE
152,7.922843338348264,2024-08-18 01:12:27.177689,2024-08-18 01:12:54.877216,0 days 00:00:27.699527,0.4173311276885245,0.17500893754576308,24.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
153,7.885494622199376,2024-08-18 01:12:54.967611,2024-08-18 01:13:23.814406,0 days 00:00:28.846795,0.4209303067636346,0.1739393786320253,24.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
154,8.096616399676812,2024-08-18 01:13:23.892061,2024-08-18 01:13:51.016460,0 days 00:00:27.124399,0.41778660938330897,0.17429982901641536,24.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
155,8.00850856513298,2024-08-18 01:13:51.098483,2024-08-18 01:14:18.252223,0 days 00:00:27.153740,0.4157546038355799,0.17722257372105898,24.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
156,7.866424931668834,2024-08-18 01:14:18.339110,2024-08-18 01:14:47.422826,0 days 00:00:29.083716,0.4190587710933324,0.1745883726235484,24.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
157,9.281620992820613,2024-08-18 01:14:47.499187,2024-08-18 01:15:14.742907,0 days 00:00:27.243720,0.4385013249206787,0.16784809827879937,25.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0285946811894310e0eb81ef18a903404e722cb6f79cf3bf947494628c035f706394682f68314b008594683387945294284b014b0285946811894310417ea030ad01a83fed2ac8b602d3053f947494628c055f6d65616e94682f68314b008594683387945294284b014b02859468398943109f2403588685e23ffcc58fb099b2d13f947494628c065f7369676d6194680b681143089d31745a87b5b73f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b198c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b28859468398942400100002f3b0a152efc204067f5e7eb952422407e305a6198b920408474b7db0df92140243fab402bbc2040a813ac8766502140edecea4a994b20400d9e8d51ec302140b8372c8172b21f40e01cebb3b4912240a3d3e71838771f403df1234b5c7c204067a6b1b0b9a32840f4dc5e5978b040409fe4b35c886d2e40a218e8839c0c4640e46f60e0ac6f3040a6a481337da8504018a2c7d2c7b82040dc51b6ff7006444068144afe2b142140c4e8397a463b44409ecb7bbf3209224069419e39e5734140a9f167e2418721400f477fc013802f40da6781966c9921400a8f8e2365c83540c98679e1c26f21409e0c73ee16f82a4082d9c9dc1696214000daebb775682540183e6310a32621403bd591509d2623401d118d92982b21404604d97afe082540b40813082a2c21407a9a3847af792440c7a6f80fae0521402e24765e2c632140947494628c055f635f316494682f68314b008594683387945294284b014b038594681189431827316f342729dc3fdcd81617556389bfa7868b7c1d33733f9474946275622e,6.0,small,0.0,COMPLETE
158,7.532379832689482,2024-08-18 01:15:14.835757,2024-08-18 01:15:42.060425,0 days 00:00:27.224668,0.43028563948037024,0.17217967705231124,25.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
159,9.938131373320186,2024-08-18 01:15:42.152910,2024-08-18 01:16:09.301175,0 days 00:00:27.148265,0.4129744084111042,0.17212905415992608,25.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
160,7.897326879883222,2024-08-18 01:16:09.375367,2024-08-18 01:16:38.582317,0 days 00:00:29.206950,0.42062683982810234,0.17716558188675774,25.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
161,8.36372906098912,2024-08-18 01:16:38.657128,2024-08-18 01:17:07.603587,0 days 00:00:28.946459,0.42396032852318755,0.17222382395798486,25.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
162,9.01970489796393,2024-08-18 01:17:07.679910,2024-08-18 01:17:35.055581,0 days 00:00:27.375671,0.4122945965226133,0.1737264346001664,25.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
163,8.087364371998959,2024-08-18 01:17:35.128727,2024-08-18 01:18:04.201811,0 days 00:00:29.073084,0.4157313587006526,0.17496758356208322,26.0,0.0,0.0,0.0,80049570060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b068594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b007494628943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b02859468118943104fb596e9c9a40440995cdfda172fe7bf947494628c035f706394682f68314b008594683387945294284b014b028594681189431029a1ea92bb06923f9bbe724c3c63f03e947494628c055f6d65616e94682f68314b008594683387945294284b014b02859468398943106e671eb7588be43fdc3defee3594d13f947494628c065f7369676d6194680b68114308b25fdf32dad5c03f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468398943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b1a8c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694683989431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b018694683989432000000000000000000000000000000000000000000000000000000,00000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b28859468398942400100002f3b0a152efc204067f5e7eb952422407e305a6198b920408474b7db0df92140243fab402bbc2040a813ac8766502140edecea4a994b20400d9e8d51ec302140b8372c8172b21f40e01cebb3b4912240a3d3e71838771f403df1234b5c7c20401ccec92d28211e4006865fc152e023409fe4b35c886d2e40a218e8839c0c4640e46f60e0ac6f3040a6a481337da8504018a2c7d2c7b82040dc51b6ff7006444068144afe2b142140c4e8397a463b44409ecb7bbf3209224069419e39e5734140a9f167e2418721400f477fc013802f40da6781966c9921400a8f8e2365c83540c98679e1c26f21409e0c73ee16f82a4082d9c9dc1696214000daebb775682540183e6310a32621403bd591509d2623401d118d92982b21404604d97afe082540b40813082a2c21407a9a3847af792440c7a6f80fae0521402e24765e2c632140947494628c055f635f316494682f68314b008594683387945294284b014b038594681189431811590c92d6dadb3f2092f107d37a8ebf9b89fa0f230f733f9474946275622e,6.0,small,0.0,COMPLETE
164,7.9650939169232355,2024-08-18 01:18:04.298519,2024-08-18 01:18:31.584452,0 days 00:00:27.285933,0.41807347497972963,0.1772906360664694,26.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
165,7.00496258945023,2024-08-18 01:18:31.702797,2024-08-18 01:19:00.619215,0 days 00:00:28.916418,0.4311428054453043,0.17350588363480476,26.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
166,7.143806081422265,2024-08-18 01:19:00.710337,2024-08-18 01:19:29.754124,0 days 00:00:29.043787,0.42939660046455297,0.1747855589701685,26.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
167,10.194809741731625,2024-08-18 01:19:29.829892,2024-08-18 01:19:57.291283,0 days 00:00:27.461391,0.41778165413674956,0.17084868399909542,26.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
168,8.742380861437866,2024-08-18 01:19:57.433809,2024-08-18 01:20:24.817799,0 days 00:00:27.383990,0.4330010400852861,0.16969181821949664,26.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
